Country,ISONum,ISOAlph,Subregion,SDG,Geographic
Aruba,533,ABW,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Afghanistan,4,AFG,Southern Asia,Central and Southern Asia,Asia
Angola,24,AGO,Middle Africa,Sub-Saharan Africa,Africa
Anguilla,660,AIA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Albania,8,ALB,Southern Europe,Europe and Northern America,Europe
Andorra,20,AND,Southern Europe,Europe and Northern America,Europe
United Arab Emirates,784,ARE,Western Asia,Northern Africa and Western Asia,Asia
Argentina,32,ARG,South America,Latin America and the Caribbean,Latin America and the Caribbean
Armenia,51,ARM,Western Asia,Northern Africa and Western Asia,Asia
American Samoa,16,ASM,Polynesia,Oceania (excluding Australia and New Zealand),Oceania
Antigua and Barbuda,28,ATG,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Australia,36,AUS,Australia/New Zealand,Australia/New Zealand,Oceania
Austria,40,AUT,Western Europe,Europe and Northern America,Europe
Azerbaijan,31,AZE,Western Asia,Northern Africa and Western Asia,Asia
Burundi,108,BDI,Eastern Africa,Sub-Saharan Africa,Africa
Belgium,56,BEL,Western Europe,Europe and Northern America,Europe
Benin,204,BEN,Western Africa,Sub-Saharan Africa,Africa
"Bonaire, Sint Eustatius and Saba",535,BES,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Burkina Faso,854,BFA,Western Africa,Sub-Saharan Africa,Africa
Bangladesh,50,BGD,Southern Asia,Central and Southern Asia,Asia
Bulgaria,100,BGR,Eastern Europe,Europe and Northern America,Europe
Bahrain,48,BHR,Western Asia,Northern Africa and Western Asia,Asia
Bahamas,44,BHS,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Bosnia and Herzegovina,70,BIH,Southern Europe,Europe and Northern America,Europe
Saint Barthélemy,652,BLM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Belarus,112,BLR,Eastern Europe,Europe and Northern America,Europe
Belize,84,BLZ,Central America,Latin America and the Caribbean,Latin America and the Caribbean
Bermuda,60,BMU,Northern America,Europe and Northern America,Northern America
Bolivia (Plurinational State of),68,BOL,South America,Latin America and the Caribbean,Latin America and the Caribbean
Brazil,76,BRA,South America,Latin America and the Caribbean,Latin America and the Caribbean
Barbados,52,BRB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
Brunei Darussalam,96,BRN,South-Eastern Asia,Eastern and South-Eastern Asia,Asia
Bhutan,64,BTN,Southern Asia,Central and Southern Asia,Asia
Botswana,72,BWA,Southern Africa,Sub-Saharan Africa,Africa
Central African Republic,140,CAF,Middle Africa,Sub-Saharan Africa,Africa
Canada,124,CAN,Northern America,Europe and Northern America,Northern America
Switzerland,756,CHE,Western Europe,Europe and Northern America,Europe
Channel Islands,830,CHI,Northern Europe,Europe and Northern America,Europe
Chile,152,CHL,South America,Latin America and the Caribbean,Latin America and the Caribbean
China,156,CHN,Eastern Asia,Eastern and South-Eastern Asia,Asia
Côte d'Ivoire,384,CIV,Western Africa,Sub-Saharan Africa,Africa
Cameroon,120,CMR,Middle Africa,Sub-Saharan Africa,Africa
Democratic Republic of the Congo,180,COD,Middle Africa,Sub-Saharan Africa,Africa
Congo,178,COG,Middle Africa,Sub-Saharan Africa,Africa
Cook Islands,184,COK,Polynesia,Oceania (excluding Australia and New Zealand),Oceania
Colombia,170,COL,South America,Latin America and the Caribbean,Latin America and the Caribbean
Comoros,174,COM,Eastern Africa,Sub-Saharan Africa,Africa
Cabo Verde,132,CPV,Western Africa,Sub-Saharan Africa,Africa
Costa Rica,188,CRI,Central America,Latin America and the Caribbean,Latin America and the Caribbean
Cuba,192,CUB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean
